CustomerID,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn,BalancePerProduct,AgeBand,TenureBand,ActivityLevel,SalaryPerProduct,BalanceToSalaryRatio,HighValueCustomer,CustomerRiskScore,HasZeroBalance,IsSingleProduct,LogBalance,LogSalary
CUST0014,male,26,8,0.0,4,0,0,106949.36,1,0.0,18-29,Long (6+ years),Low,21389.872,0.0,0,0.5,1,0,0.0,11.580120080563793
CUST0015,male,43,8,0.0,1,0,0,146322.57,1,0.0,40-49,Long (6+ years),Low,73161.285,0.0,1,0.5,1,1,0.0,11.893575681345565
CUST0016,male,22,10,47961.0,3,0,0,112386.18,1,11990.25,18-29,Long (6+ years),Low,28096.545,0.4267479618226919,0,0.5,0,0,10.778164309689819,11.62970515299724
CUST0017,female,30,3,0.0,1,1,0,86114.19,0,0.0,30-39,Medium (3-5 years),Medium,43057.095,0.0,0,0.7,1,1,0.0,11.363441097619384
CUST0018,male,40,7,0.0,1,1,0,30007.39,1,0.0,40-49,Long (6+ years),Medium,15003.695,0.0,0,0.5,1,1,0.0,10.309232288211527
CUST0019,female,39,2,125246.46,1,0,1,79349.49,0,62623.23,30-39,New (0-2 years),Medium,39674.745,1.5783955461396646,1,0.5,0,1,11.738046739300362,11.281629901108772
CUST0020,female,37,10,0.0,3,1,0,55377.19,1,0.0,30-39,Long (6+ years),Medium,13844.2975,0.0,0,0.3,1,0,0.0,10.92194111291168
CUST0021,male,69,9,61651.47,4,0,0,83027.9,0,12330.294,60+,Long (6+ years),Low,16605.579999999998,0.7425302515148341,0,0.3,0,0,11.029268572672315,11.326944018944785
CUST0022,male,59,8,188639.03,4,1,1,111392.46,0,37727.806,50-59,Long (6+ years),High,22278.492000000002,1.6934479815960468,1,0.0,0,0,12.147595874804264,11.620823897391114
CUST0024,female,34,1,195346.38,2,0,0,64859.26,0,65115.46,30-39,New (0-2 years),Low,21619.753333333334,3.011803837974131,1,0.8,0,0,12.182534688568348,11.079990388487255
CUST0025,female,19,5,98401.1,2,1,0,107377.62,0,32800.36666666667,18-29,Medium (3-5 years),Medium,35792.54,0.9163937849080199,0,0.5,0,0,11.496817424276033,11.584116372338753
CUST0026,male,34,6,74188.84,2,1,1,89650.71,1,24729.61333333333,30-39,Long (6+ years),High,29883.570000000003,0.8275228659888361,0,0.2,0,0,11.214382492556364,11.403687553028725
CUST0027,male,50,9,64835.23,4,0,0,96816.08,0,12967.046,50-59,Long (6+ years),Low,19363.216,0.6696672735843717,0,0.3,0,0,11.079619831037705,11.480578703980846
CUST0028,female,36,10,0.0,4,1,0,42667.64,1,0.0,30-39,Long (6+ years),Medium,8533.528,0.0,0,0.3,1,0,0.0,10.661219503164146
CUST0029,male,56,2,0.0,4,0,0,47179.31,1,0.0,50-59,New (0-2 years),Low,9435.862,0.0,0,0.6,1,0,0.0,10.761731923520834
CUST0030,male,59,3,46481.45,2,1,0,87162.67,1,15493.816666666666,50-59,Medium (3-5 years),Medium,29054.22333333333,0.533266325293554,0,0.3,0,0,10.746830100979999,11.375542894642962
CUST0031,female,18,5,0.0,3,0,0,65397.24,0,0.0,18-29,Medium (3-5 years),Low,16349.31,0.0,0,0.5,1,0,0.0,11.08825062576819
CUST0032,male,20,4,177530.2,1,1,1,30938.2,1,88765.1,18-29,Medium (3-5 years),High,15469.1,5.738034596886798,1,0.4,0,1,12.08690164709894,10.339779267296327
CUST0034,female,63,2,0.0,4,0,0,42870.28,1,0.0,60+,New (0-2 years),Low,8574.056,0.0,0,0.6,1,0,0.0,10.665957416855644
CUST0035,female,31,5,36585.72,4,1,0,113722.19,1,7317.144,30-39,Medium (3-5 years),Medium,22744.438000000002,0.3217085275219592,0,0.5,0,0,10.507440612016488,11.641522616725707
CUST0036,male,65,3,127630.19,2,1,1,147256.07,0,42543.39666666667,60+,Medium (3-5 years),High,49085.35666666667,0.8667168917594245,1,0.0,0,0,11.756900055759957,11.899935113943561
CUST0037,female,25,2,0.0,4,0,1,132341.78,0,0.0,18-29,New (0-2 years),Medium,26468.356,0.0,1,0.5,1,0,0.0,11.79315065384383
CUST0038,male,65,3,114828.84,1,1,0,149291.57,1,57414.42,60+,Medium (3-5 years),Medium,74645.785,0.7691530797547392,1,0.5,0,1,11.65120665940516,11.913663216716262
CUST0039,female,63,5,176815.31,1,0,1,62997.54,0,88407.655,60+,Medium (3-5 years),Medium,31498.77,2.806657265390595,1,0.2,0,1,12.082866676062029,11.05086683050196
CUST0040,male,48,3,196085.99,3,0,0,44818.43,1,49021.4975,40-49,Medium (3-5 years),Low,11204.6075,4.375021949185878,1,0.3,0,0,12.186313666281404,10.710397029737235
CUST0041,female,20,2,0.0,2,1,0,94107.95,1,0.0,18-29,New (0-2 years),Medium,31369.316666666666,0.0,0,0.8,1,0,0.0,11.452208432634073
CUST0042,female,49,6,0.0,3,1,1,61931.6,0,0.0,40-49,Long (6+ years),High,15482.9,0.0,0,0.0,1,0,0.0,11.03380197593475
CUST0043,female,26,6,0.0,2,0,1,125314.74,0,0.0,18-29,Long (6+ years),Medium,41771.58,0.0,1,0.2,1,0,0.0,11.738591751510377
CUST0044,male,30,10,2031.79,1,1,0,29222.32,1,1015.895,30-39,Long (6+ years),Medium,14611.16,0.06952632349780928,0,0.7,0,1,7.617164512670754,10.282722299658001
CUST0045,male,31,3,68261.04,2,1,1,95176.42,0,22753.679999999997,30-39,Medium (3-5 years),High,31725.47333333333,0.7171978395716126,0,0.2,0,0,11.131109107745157,11.463498007772726
CUST0046,male,42,10,0.0,2,1,1,83351.0,1,0.0,40-49,Long (6+ years),High,27783.666666666668,0.0,0,0.0,1,0,0.0,11.33082788309202
CUST0047,female,23,6,0.0,1,1,0,55300.58,1,0.0,18-29,Long (6+ years),Medium,27650.29,0.0,0,0.7,1,1,0.0,10.920556758530843
CUST0048,male,56,4,168562.59,4,1,0,110936.59,1,33712.518,50-59,Medium (3-5 years),Medium,22187.318,1.519436198316549,1,0.3,0,0,12.035068346305376,11.616723069919148
CUST0049,male,33,2,103743.77,3,0,1,55208.19,0,25935.9425,30-39,New (0-2 years),Medium,13802.0475,1.8791032797257123,0,0.5,0,0,11.549689027183781,10.918884703915259
CUST0050,male,43,5,37682.4,3,0,0,109504.99,1,9420.6,40-49,Medium (3-5 years),Low,27376.2475,0.34411268278566315,0,0.3,0,0,10.536974958165146,11.603734529938874
CUST0051,female,18,2,48717.68,4,0,1,141499.82,0,9743.536,18-29,New (0-2 years),Medium,28299.964,0.344292563110235,1,0.5,0,0,10.793817808420682,11.860060791101642
CUST0052,female,56,5,0.0,3,1,1,66276.45,0,0.0,50-59,Medium (3-5 years),High,16569.1125,0.0,0,0.0,1,0,0.0,11.101604997656151
CUST0053,female,46,5,19737.24,2,1,1,42792.94,1,6579.080000000001,40-49,Medium (3-5 years),High,14264.313333333334,0.4612157702702766,0,0.0,0,0,9.890313149944685,10.664151782760204
CUST0054,female,43,5,0.0,2,1,0,71805.62,0,0.0,40-49,Medium (3-5 years),Medium,23935.206666666665,0.0,0,0.3,1,0,0.0,11.181731951343208
CUST0055,male,22,4,0.0,2,1,0,85407.71,0,0.0,18-29,Medium (3-5 years),Medium,28469.236666666668,0.0,0,0.5,1,0,0.0,11.355203365208288
CUST0056,female,22,4,123554.38,3,1,0,132735.86,0,30888.595,18-29,Medium (3-5 years),Medium,33183.965,0.9308219284379637,1,0.5,0,0,11.724444755592126,11.796123951154192
CUST0057,female,37,8,0.0,4,0,0,125456.54,0,0.0,30-39,Long (6+ years),Low,25091.307999999997,0.0,1,0.3,1,0,0.0,11.739722653615361
CUST0058,male,29,3,164264.94,2,0,1,55614.95,0,54754.98,18-29,Medium (3-5 years),Medium,18538.316666666666,2.9535581069819004,1,0.2,0,0,12.009241978822255,10.926225309602795
CUST0059,female,63,2,8753.66,3,0,0,105243.94,1,2188.415,60+,New (0-2 years),Low,26310.985,0.08317416495272836,0,0.6,0,0,9.0773414090144,11.564045674379438
CUST0060,male,27,10,0.0,1,0,1,110075.75,1,0.0,18-29,Long (6+ years),Medium,55037.875,0.0,0,0.4,1,1,0.0,11.60893312874877
CUST0061,male,28,8,0.0,1,0,1,43067.14,0,0.0,18-29,Long (6+ years),Medium,21533.57,0.0,0,0.4,1,1,0.0,10.670538791603677
CUST0062,male,52,1,146597.9,2,0,0,95470.72,0,48865.96666666667,50-59,New (0-2 years),Low,31823.573333333334,1.5355112487760774,1,0.6,0,0,11.895455564995896,11.466585356960511
CUST0063,male,49,5,0.0,1,0,0,50970.7,1,0.0,40-49,Medium (3-5 years),Low,25485.35,0.0,0,0.5,1,1,0.0,10.839025855730608
CUST0064,female,66,4,165465.04,1,0,0,70596.22,1,82732.52,60+,Medium (3-5 years),Low,35298.11,2.3437897412957622,1,0.5,0,1,12.016521256368977,11.16474604593551
CUST0065,female,58,3,0.0,4,1,0,143578.93,1,0.0,50-59,Medium (3-5 years),Medium,28715.786,0.0,1,0.3,1,0,0.0,11.874647162597272
CUST0066,female,64,5,19249.13,1,1,0,47654.63,0,9624.565,60+,Medium (3-5 years),Medium,23827.315,0.4039214254433317,0,0.5,0,1,9.86527309293988,10.771756055303229
CUST0067,male,33,9,0.0,2,1,0,149471.06,1,0.0,30-39,Long (6+ years),Medium,49823.68666666667,0.0,1,0.5,1,0,0.0,11.914864764714727
CUST0068,female,52,7,0.0,2,0,1,109443.9,0,0.0,50-59,Long (6+ years),Medium,36481.299999999996,0.0,0,0.0,1,0,0.0,11.603176505245893
CUST0069,male,34,6,0.0,4,1,0,126841.81,1,0.0,30-39,Long (6+ years),Medium,25368.362,0.0,1,0.5,1,0,0.0,11.75070388230156
CUST0070,male,22,5,47412.39,4,0,0,134446.8,1,9482.478,18-29,Medium (3-5 years),Low,26889.359999999997,0.3526453389345159,1,0.5,0,0,10.766659957242013,11.808931298602928
CUST0071,male,24,9,118785.86,2,1,0,82616.71,1,39595.28666666667,18-29,Long (6+ years),Medium,27538.903333333335,1.4377772029750038,1,0.5,0,0,11.685086073732775,11.321979343306882
CUST0072,female,56,10,0.0,2,0,0,21475.97,1,0.0,50-59,Long (6+ years),Low,7158.656666666667,0.0,0,0.3,1,0,0.0,9.974736477220185
CUST0073,female,37,8,0.0,3,0,0,95837.94,0,0.0,30-39,Long (6+ years),Low,23959.485,0.0,0,0.3,1,0,0.0,11.470424353187946
CUST0074,female,66,9,173851.23,1,1,1,21580.08,0,86925.615,60+,Long (6+ years),High,10790.04,8.05572427329865,1,0.2,0,1,12.065960964503581,9.979572283899053
CUST0075,male,64,5,0.0,3,1,0,52888.72,0,0.0,60+,Medium (3-5 years),Medium,13222.18,0.0,0,0.3,1,0,0.0,10.875964270039583
CUST0076,male,35,9,0.0,3,0,0,110600.26,1,0.0,30-39,Long (6+ years),Low,27650.065,0.0,0,0.3,1,0,0.0,11.613686760410541
CUST0077,female,40,9,183135.61,4,1,1,71287.83,1,36627.121999999996,40-49,Long (6+ years),High,14257.566,2.568924332185,1,0.0,0,0,12.117987656061223,11.17449493213803
CUST0078,male,70,8,34766.3,2,1,1,49821.32,1,11588.766666666668,60+,Long (6+ years),High,16607.106666666667,0.6978057224151746,0,0.0,0,0,10.456432568837478,10.81621835537545
CUST0079,female,54,9,6708.0,2,0,0,56369.26,1,2236.0,50-59,Long (6+ years),Low,18789.753333333334,0.11899891893349436,0,0.3,0,0,8.811205187562887,10.939696993447457
CUST0080,female,30,3,164684.91,3,1,0,99743.98,0,41171.2275,30-39,Medium (3-5 years),Medium,24935.995,1.651059632274226,1,0.5,0,0,12.011795363022255,11.510372007671187
CUST0081,female,47,2,0.0,3,1,0,121088.3,1,0.0,40-49,New (0-2 years),Medium,30272.075,0.0,1,0.6,1,0,0.0,11.704283568907522
CUST0082,male,64,1,75971.06,3,0,1,127791.35,0,18992.765,60+,New (0-2 years),Medium,31947.8375,0.5944883242228506,1,0.3,0,0,11.238120920096465,11.758161959979011
CUST0083,female,50,2,0.0,1,0,1,29796.68,0,0.0,50-59,New (0-2 years),Medium,14898.34,0.0,0,0.5,1,1,0.0,10.302185817113852
CUST0084,male,22,5,0.0,3,0,0,142819.54,0,0.0,18-29,Medium (3-5 years),Low,35704.885,0.0,1,0.5,1,0,0.0,11.86934415607901
CUST0085,male,34,5,90658.28,1,0,0,98802.7,1,45329.14,30-39,Medium (3-5 years),Low,49401.35,0.9175595650770164,0,0.7,0,1,11.41486358270288,11.50089033242746
CUST0086,female,66,8,124007.52,3,1,0,107304.52,1,31001.88,60+,Long (6+ years),Medium,26826.13,1.155649029052746,1,0.3,0,0,11.728105551904191,11.58343537184356
CUST0087,female,20,2,170584.12,4,0,1,133964.97,0,34116.824,18-29,New (0-2 years),Medium,26792.994,1.2733391920351116,1,0.5,0,0,12.046989688664768,11.805341091457079
CUST0088,female,65,7,0.0,2,1,0,47685.34,1,0.0,60+,Long (6+ years),Medium,15895.113333333333,0.0,0,0.3,1,0,0.0,10.77240026269819
CUST0089,female,51,6,122009.48,2,0,0,31830.27,0,40669.82666666667,50-59,Long (6+ years),Low,10610.09,3.8330069771014474,1,0.3,0,0,11.711862221665402,10.368204418946089
CUST0090,male,55,1,156946.95,2,0,1,132107.28,0,52315.65,50-59,New (0-2 years),Medium,44035.76,1.1880175110901452,1,0.3,0,0,11.963669500700249,11.79137716833416
CUST0091,male,21,10,185390.94,1,1,1,79687.65,0,92695.47,18-29,Long (6+ years),High,39843.825,2.3264409674401563,1,0.4,0,1,12.130227457598231,11.285882445603301
CUST0092,female,70,2,0.0,3,1,0,29862.23,1,0.0,60+,New (0-2 years),Medium,7465.5575,0.0,0,0.6,1,0,0.0,10.304383236709915
CUST0093,male,33,6,139835.85,4,1,1,73515.96,0,27967.170000000002,30-39,Long (6+ years),High,14703.192000000001,1.9020896674726484,1,0.2,0,0,11.848231664891946,11.205271406881954
CUST0094,male,44,2,0.0,3,0,0,64860.74,1,0.0,40-49,New (0-2 years),Low,16215.185,0.0,0,0.6,1,0,0.0,11.080013206513497
CUST0095,male,39,5,0.0,1,1,1,136248.24,1,0.0,30-39,Medium (3-5 years),High,68124.12,0.0,1,0.2,1,1,0.0,11.822241134528282
CUST0096,male,43,9,0.0,1,1,0,86515.41,1,0.0,40-49,Long (6+ years),Medium,43257.705,0.0,0,0.5,1,1,0.0,11.368089385909776
CUST0097,male,65,1,0.0,4,0,0,43987.73,1,0.0,60+,New (0-2 years),Low,8797.546,0.0,0,0.6,1,0,0.0,10.69168874372824
CUST0098,female,39,10,152231.13,4,1,0,28104.38,1,30446.226000000002,30-39,Long (6+ years),Medium,5620.876,5.416440909178243,1,0.3,0,0,11.933161805941223,10.243716296070621
CUST0099,male,68,7,0.0,2,0,0,23961.38,0,0.0,60+,Long (6+ years),Low,7987.126666666667,0.0,0,0.3,1,0,0.0,10.084240379516634
CUST0100,female,55,3,80035.6,1,0,0,43696.9,1,40017.8,50-59,Medium (3-5 years),Low,21848.45,1.8315662766402963,0,0.5,0,1,11.290239309034803,10.685055325009099
CUST0101,female,34,7,18751.66,4,0,0,64580.49,1,3750.332,30-39,Long (6+ years),Low,12916.098,0.29035657120949054,0,0.5,0,0,9.8390908880031,11.07568311620467
CUST0102,female,27,3,130115.75,3,1,0,115786.92,0,32528.9375,18-29,Medium (3-5 years),Medium,28946.73,1.123742010392794,1,0.5,0,0,11.776187403330999,11.659515520890261
CUST0103,female,57,1,113327.25,1,0,1,136954.16,0,56663.625,50-59,New (0-2 years),Medium,68477.08,0.8274770370097775,1,0.5,0,1,11.638043753977135,11.827408851966092
CUST0104,male,62,6,0.0,1,1,0,39871.69,1,0.0,60+,Long (6+ years),Medium,19935.845,0.0,0,0.5,1,1,0.0,10.593446907374595
CUST0105,male,21,8,0.0,3,0,0,73351.59,0,0.0,18-29,Long (6+ years),Low,18337.8975,0.0,0,0.5,1,0,0.0,11.203033093104521
CUST0106,female,48,6,80173.26,3,1,0,126219.37,1,20043.315,40-49,Long (6+ years),Medium,31554.8425,0.6351847962416842,1,0.3,0,0,11.291957794708969,11.745784626523571
CUST0107,female,55,3,164351.43,3,0,1,81960.53,0,41087.8575,50-59,Medium (3-5 years),Medium,20490.1325,2.005226476372513,1,0.0,0,0,12.00976836450177,11.314005269821351
CUST0108,male,22,6,193630.82,3,1,0,115712.13,1,48407.705,18-29,Long (6+ years),Medium,28928.0325,1.6733694784680009,1,0.5,0,0,12.173713799823203,11.65886938988911
CUST0109,female,18,10,153788.12,1,1,0,141161.86,1,76894.06,18-29,Long (6+ years),Medium,70580.93,1.0894375475248943,1,0.7,0,1,11.943337592329035,11.857669538281042
CUST0110,female,20,1,74476.87,2,0,0,91359.86,1,24825.623333333333,18-29,New (0-2 years),Low,30453.286666666667,0.8151944935719737,0,0.8,0,0,11.218257313260592,11.422572438155514
CUST0111,male,57,2,0.0,1,1,0,35170.49,1,0.0,50-59,New (0-2 years),Medium,17585.245,0.0,0,0.8,1,1,0.0,10.467991090223174
CUST0112,female,55,7,0.0,1,0,1,116976.69,1,0.0,50-59,Long (6+ years),Medium,58488.345,0.0,1,0.2,1,1,0.0,11.66973851183675
CUST0113,male,70,8,198194.97,4,0,0,140438.43,0,39638.994,60+,Long (6+ years),Low,28087.685999999998,1.4112487497279076,1,0.3,0,0,12.197011567674334,11.85253157160139
CUST0114,female,46,8,0.0,2,1,1,127267.25,1,0.0,40-49,Long (6+ years),High,42422.416666666664,0.0,1,0.0,1,0,0.0,11.754052342596907
CUST0115,male,36,10,0.0,1,1,0,108787.67,1,0.0,30-39,Long (6+ years),Medium,54393.835,0.0,0,0.5,1,1,0.0,11.597162471952034
CUST0116,male,57,3,0.0,3,0,0,95073.22,1,0.0,50-59,Medium (3-5 years),Low,23768.305,0.0,0,0.3,1,0,0.0,11.462413128713372
CUST0117,female,64,7,0.0,4,1,0,90570.41,1,0.0,60+,Long (6+ years),Medium,18114.082000000002,0.0,0,0.3,1,0,0.0,11.41389387931671
CUST0118,male,20,7,146379.28,4,1,0,134221.78,1,29275.856,18-29,Long (6+ years),Medium,26844.356,1.0905695739575652,1,0.5,0,0,11.89396317198301,11.807256235761182
CUST0119,male,47,7,0.0,2,0,0,111907.46,1,0.0,40-49,Long (6+ years),Low,37302.48666666667,0.0,0,0.3,1,0,0.0,11.625436494659395
CUST0120,female,50,4,114408.05,1,0,1,64470.63,0,57204.025,50-59,Medium (3-5 years),Medium,32235.315,1.7745487433775136,1,0.2,0,1,11.64753546319054,11.073980561062454
CUST0121,male,48,4,91943.04,4,0,0,90181.88,0,18388.608,40-49,Medium (3-5 years),Low,18036.376,1.019517673420942,0,0.3,0,0,11.42893541009592,11.409594887592872
CUST0122,male,21,2,0.0,3,1,1,113103.28,0,0.0,18-29,New (0-2 years),High,28275.82,0.0,0,0.5,1,0,0.0,11.636065504005352
CUST0123,female,37,10,69162.33,4,0,0,57430.85,0,13832.466,30-39,Long (6+ years),Low,11486.17,1.2042504289867035,0,0.3,0,0,11.144226087857293,10.958354306468538
CUST0124,female,43,8,0.0,1,0,1,133376.11,0,0.0,40-49,Long (6+ years),Medium,66688.055,0.0,1,0.2,1,1,0.0,11.80093580853515
CUST0125,male,53,4,0.0,4,0,1,120262.07,0,0.0,50-59,Medium (3-5 years),Medium,24052.414,0.0,1,0.0,1,0,0.0,11.697436872290343
CUST0126,male,26,6,16386.89,4,0,1,138389.21,1,3277.3779999999997,18-29,Long (6+ years),Medium,27677.841999999997,0.11841076041433857,1,0.2,0,0,9.704297926415775,11.837832582669508
CUST0127,female,54,5,33938.58,2,0,0,63179.03,1,11312.86,50-59,Medium (3-5 years),Low,21059.676666666666,0.5371725844384689,0,0.3,0,0,10.432337163932628,11.053743549189772
CUST0128,female,68,8,0.0,1,0,0,46725.38,1,0.0,60+,Long (6+ years),Low,23362.69,0.0,0,0.5,1,1,0.0,10.752064166398062
CUST0129,male,43,9,23739.19,1,1,0,139984.83,1,11869.595,40-49,Long (6+ years),Medium,69992.415,0.16958280705982884,1,0.5,0,1,10.074924671501472,11.849296482183215
CUST0130,male,44,2,183772.49,3,0,1,83351.0,0,45943.1225,40-49,New (0-2 years),Medium,20837.75,2.204776010173721,1,0.3,0,0,12.121459245639358,11.33082788309202
CUST0131,male,42,7,0.0,4,0,0,121464.44,1,0.0,40-49,Long (6+ years),Low,24292.888,0.0,1,0.3,1,0,0.0,11.707385056856301
CUST0132,male,43,2,0.0,1,1,0,39326.15,1,0.0,40-49,New (0-2 years),Medium,19663.075,0.0,0,0.8,1,1,0.0,10.579670399032114
CUST0133,male,45,8,0.0,4,0,1,117494.86,1,0.0,40-49,Long (6+ years),Medium,23498.972,0.0,1,0.0,1,0,0.0,11.674158377903064
CUST0134,female,36,1,8273.38,4,1,0,28542.12,0,1654.676,30-39,New (0-2 years),Medium,5708.424,0.2898554888183212,0,0.6,0,0,9.020919272966987,10.259171205308082
CUST0135,male,64,2,105353.66,1,1,1,92753.24,1,52676.83,60+,New (0-2 years),High,46376.62,1.1358365935616528,0,0.5,0,1,11.565087651761418,11.43770869371053
CUST0136,male,18,8,0.0,3,1,1,55196.81,0,0.0,18-29,Long (6+ years),High,13799.2025,0.0,0,0.2,1,0,0.0,10.918678557565112
CUST0137,male,50,7,195807.36,2,0,0,73037.98,1,65269.119999999995,50-59,Long (6+ years),Low,24345.993333333332,2.6808610963625177,1,0.3,0,0,12.184891704796286,11.198748550220627
CUST0138,female,20,8,0.0,1,1,1,64105.26,1,0.0,18-29,Long (6+ years),High,32052.63,0.0,0,0.4,1,1,0.0,11.068297298046739
CUST0139,male,68,1,111787.6,2,0,1,148534.74,0,37262.53333333333,60+,New (0-2 years),Medium,49511.579999999994,0.7525973210218633,1,0.3,0,0,11.624364866704424,11.908580881668367
CUST0140,female,63,4,188937.54,1,1,0,62118.71,1,94468.77,60+,Medium (3-5 years),Medium,31059.355,3.041507115857431,1,0.5,0,1,12.149177055972427,11.036818608867954
CUST0141,female,27,7,0.0,3,1,0,133937.73,1,0.0,18-29,Long (6+ years),Medium,33484.4325,0.0,1,0.5,1,0,0.0,11.80513773556154
CUST0142,male,35,2,0.0,4,0,1,127263.95,0,0.0,30-39,New (0-2 years),Medium,25452.79,0.0,1,0.3,1,0,0.0,11.754026412777142
CUST0143,male,29,4,125205.63,4,1,0,76696.45,1,25041.126,18-29,Medium (3-5 years),Medium,15339.289999999999,1.6324614442853056,1,0.5,0,0,11.73772069151762,11.247623740388072
CUST0144,female,69,10,152957.55,1,1,1,83366.06,0,76478.775,60+,Long (6+ years),High,41683.03,1.8347480407729382,1,0.2,0,1,11.937922248637786,11.331008546299225
CUST0145,female,49,1,0.0,2,0,1,110849.96,0,0.0,40-49,New (0-2 years),Medium,36949.98666666667,0.0,0,0.3,1,0,0.0,11.615941875358784
CUST0146,female,26,6,129365.78,4,1,1,137074.4,0,25873.156,18-29,Long (6+ years),High,27414.879999999997,0.9437563559909364,1,0.2,0,0,11.770406904751374,11.828286418378514
CUST0147,female,54,6,0.0,2,1,0,55627.18,1,0.0,50-59,Long (6+ years),Medium,18542.393333333333,0.0,0,0.3,1,0,0.0,10.926445186373808
CUST0148,female,42,6,0.0,1,1,1,37795.13,0,0.0,40-49,Long (6+ years),High,18897.565,0.0,0,0.2,1,1,0.0,10.53996199541401
CUST0149,male,23,8,0.0,1,0,0,94528.27,1,0.0,18-29,Long (6+ years),Low,47264.135,0.0,0,0.7,1,1,0.0,11.456664800973448
CUST0150,male,38,10,84985.18,4,1,0,43968.22,1,16997.036,30-39,Long (6+ years),Medium,8793.644,1.9328334685036486,0,0.3,0,0,11.350243934018259,10.691245122649761
CUST0151,male,68,10,0.0,4,0,1,139016.78,0,0.0,60+,Long (6+ years),Medium,27803.356,0.0,1,0.0,1,0,0.0,11.842357117601638
CUST0152,male,57,3,0.0,3,1,1,37550.17,0,0.0,50-59,Medium (3-5 years),High,9387.5425,0.0,0,0.0,1,0,0.0,10.533459815162258
CUST0154,male,26,10,0.0,1,1,0,73663.16,1,0.0,18-29,Long (6+ years),Medium,36831.58,0.0,0,0.7,1,1,0.0,11.207271664103523
CUST0155,male,57,10,0.0,3,1,0,20304.12,0,0.0,50-59,Long (6+ years),Medium,5076.03,0.0,0,0.3,1,0,0.0,9.91862834997735
CUST0156,male,55,2,0.0,4,0,0,145072.84,0,0.0,50-59,New (0-2 years),Low,29014.568,0.0,1,0.6,1,0,0.0,11.884998133162634
CUST0157,male,66,8,0.0,1,0,0,114133.43,1,0.0,60+,Long (6+ years),Low,57066.715,0.0,0,0.5,1,1,0.0,11.645132243180312
CUST0158,male,25,9,180769.4,3,0,1,26707.45,0,45192.35,18-29,Long (6+ years),Medium,6676.8625,6.768247502194998,1,0.2,0,0,12.104982996722994,10.192735273720048
CUST0159,male,49,10,0.0,3,1,0,81517.32,1,0.0,40-49,Long (6+ years),Medium,20379.33,0.0,0,0.3,1,0,0.0,11.308583059244603
CUST0160,male,32,5,0.0,4,1,1,74829.15,0,0.0,30-39,Medium (3-5 years),High,14965.829999999998,0.0,0,0.2,1,0,0.0,11.222976157616028
